name,image,id,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Tomorrow's Dust,https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49,666PdikRnUzdvjT9p5wWND,Tame Impala,0.616,0.804,0,-5.568,1,0.0427,0.0124,0.0998,0.553,0.627,99.002,audio_features,spotify:track:666PdikRnUzdvjT9p5wWND,https://api.spotify.com/v1/tracks/666PdikRnUzdvjT9p5wWND,https://api.spotify.com/v1/audio-analysis/666PdikRnUzdvjT9p5wWND,326840,4
Capricorn,https://i.scdn.co/image/ab67616d0000b273c54a20fa159b62a804a54d9e,2tKqhcDNVVKXJqllKzrecM,Vampire Weekend,0.563,0.644,7,-3.889,1,0.0318,0.159,0.000311,0.118,0.525,140.022,audio_features,spotify:track:2tKqhcDNVVKXJqllKzrecM,https://api.spotify.com/v1/tracks/2tKqhcDNVVKXJqllKzrecM,https://api.spotify.com/v1/audio-analysis/2tKqhcDNVVKXJqllKzrecM,249560,4
My Girls,https://i.scdn.co/image/ab67616d0000b273a7f85f2df08fbeb6dac5677c,7jZBPuJmkOsfPkwFD30dAA,Animal Collective,0.508,0.953,4,-6.031,0,0.0806,0.256,0.0445,0.929,0.555,119.973,audio_features,spotify:track:7jZBPuJmkOsfPkwFD30dAA,https://api.spotify.com/v1/tracks/7jZBPuJmkOsfPkwFD30dAA,https://api.spotify.com/v1/audio-analysis/7jZBPuJmkOsfPkwFD30dAA,340787,4
"Fantasie In F Minor, Op. 103, D. 940",https://i.scdn.co/image/ab67616d0000b273779b60ced045bfc2595628bf,2YTsPf5ejzVQzAujHlA0Gk,Franz Schubert,0.394,0.106,1,-22.522,1,0.0433,0.991,0.873,0.0875,0.121,117.933,audio_features,spotify:track:2YTsPf5ejzVQzAujHlA0Gk,https://api.spotify.com/v1/tracks/2YTsPf5ejzVQzAujHlA0Gk,https://api.spotify.com/v1/audio-analysis/2YTsPf5ejzVQzAujHlA0Gk,1027907,4
Waters of Nazareth x We Are your Friends x Phantom 2 (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,0sibHAYzpx9FJRrGRr137u,Justice,0.372,0.766,7,-5.23,1,0.0757,0.00459,0.000841,0.155,0.151,124.248,audio_features,spotify:track:0sibHAYzpx9FJRrGRr137u,https://api.spotify.com/v1/tracks/0sibHAYzpx9FJRrGRr137u,https://api.spotify.com/v1/audio-analysis/0sibHAYzpx9FJRrGRr137u,391782,4
Brother Sport,https://i.scdn.co/image/ab67616d0000b273a7f85f2df08fbeb6dac5677c,3l0ya5dJI7xnPi3k18mRqa,Animal Collective,0.514,0.977,6,-5.154,1,0.154,0.289,0.0105,0.0707,0.435,132.858,audio_features,spotify:track:3l0ya5dJI7xnPi3k18mRqa,https://api.spotify.com/v1/tracks/3l0ya5dJI7xnPi3k18mRqa,https://api.spotify.com/v1/audio-analysis/3l0ya5dJI7xnPi3k18mRqa,359027,4
Only I Will Remain,https://i.scdn.co/image/ab67616d0000b273166adc280da684b1d54f4126,6yLQmfQLDGtUYHG34W0FcH,Hans Zimmer,0.164,0.0371,11,-22.716,0,0.0346,0.578,0.855,0.115,0.0322,79.975,audio_features,spotify:track:6yLQmfQLDGtUYHG34W0FcH,https://api.spotify.com/v1/tracks/6yLQmfQLDGtUYHG34W0FcH,https://api.spotify.com/v1/audio-analysis/6yLQmfQLDGtUYHG34W0FcH,404360,3
Pink Matter,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5,1fOkmYW3ZFkkjIdOZSf596,Frank Ocean,0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,audio_features,spotify:track:1fOkmYW3ZFkkjIdOZSf596,https://api.spotify.com/v1/tracks/1fOkmYW3ZFkkjIdOZSf596,https://api.spotify.com/v1/audio-analysis/1fOkmYW3ZFkkjIdOZSf596,268813,3
Musique,https://i.scdn.co/image/ab67616d0000b2736421924f3ad8bcb91b14889e,3J7V8Wg2wqqCM3tfpBoSne,France Gall,0.589,0.899,7,-5.902,1,0.0824,0.658,0.00664,0.0631,0.674,103.923,audio_features,spotify:track:3J7V8Wg2wqqCM3tfpBoSne,https://api.spotify.com/v1/tracks/3J7V8Wg2wqqCM3tfpBoSne,https://api.spotify.com/v1/audio-analysis/3J7V8Wg2wqqCM3tfpBoSne,253027,4
In The Flowers,https://i.scdn.co/image/ab67616d0000b273a7f85f2df08fbeb6dac5677c,3uqDfaiaOk3ZdxZUOqqQa9,Animal Collective,0.224,0.753,0,-8.164,1,0.0943,0.0713,0.116,0.404,0.482,110.805,audio_features,spotify:track:3uqDfaiaOk3ZdxZUOqqQa9,https://api.spotify.com/v1/tracks/3uqDfaiaOk3ZdxZUOqqQa9,https://api.spotify.com/v1/audio-analysis/3uqDfaiaOk3ZdxZUOqqQa9,322027,3
Keep On Lying,https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193,2UYHP0RQqPFvue0Ygs5Amm,Tame Impala,0.485,0.814,0,-4.894,0,0.0356,0.0783,0.0128,0.273,0.658,123.997,audio_features,spotify:track:2UYHP0RQqPFvue0Ygs5Amm,https://api.spotify.com/v1/tracks/2UYHP0RQqPFvue0Ygs5Amm,https://api.spotify.com/v1/audio-analysis/2UYHP0RQqPFvue0Ygs5Amm,353933,4
Summertime Clothes,https://i.scdn.co/image/ab67616d0000b273a7f85f2df08fbeb6dac5677c,26JkaeeVVIPLquHEsf7YJd,Animal Collective,0.491,0.871,4,-5.564,1,0.0969,0.00164,0.0,0.361,0.322,135.996,audio_features,spotify:track:26JkaeeVVIPLquHEsf7YJd,https://api.spotify.com/v1/tracks/26JkaeeVVIPLquHEsf7YJd,https://api.spotify.com/v1/audio-analysis/26JkaeeVVIPLquHEsf7YJd,274213,4
Good Girl,https://i.scdn.co/image/ab67616d0000b273e734dcbdff57bb5e81f7cd19,7eCyu8EKSTT7GaXI9IVHrF,Jockstrap,0.671,0.871,8,-4.478,1,0.0335,0.0363,0.441,0.0742,0.115,119.992,audio_features,spotify:track:7eCyu8EKSTT7GaXI9IVHrF,https://api.spotify.com/v1/tracks/7eCyu8EKSTT7GaXI9IVHrF,https://api.spotify.com/v1/audio-analysis/7eCyu8EKSTT7GaXI9IVHrF,242363,3
Saturnine,https://i.scdn.co/image/ab67616d0000b27305289cb66dee341e682f010c,2oEzHtai43VJ8KMrWjb8ft,Justice,0.435,0.324,5,-9.937,1,0.306,0.00591,0.0,0.574,0.653,190.481,audio_features,spotify:track:2oEzHtai43VJ8KMrWjb8ft,https://api.spotify.com/v1/tracks/2oEzHtai43VJ8KMrWjb8ft,https://api.spotify.com/v1/audio-analysis/2oEzHtai43VJ8KMrWjb8ft,201533,4
Prep-School Gangsters,https://i.scdn.co/image/ab67616d0000b2731f4e2d002b9d1920339a5109,0NiaHPlgDp7081zSqXuULS,Vampire Weekend,0.711,0.662,10,-3.843,1,0.0262,0.34,0.00774,0.434,0.279,121.105,audio_features,spotify:track:0NiaHPlgDp7081zSqXuULS,https://api.spotify.com/v1/tracks/0NiaHPlgDp7081zSqXuULS,https://api.spotify.com/v1/audio-analysis/0NiaHPlgDp7081zSqXuULS,228547,4
Idontknow,https://i.scdn.co/image/ab67616d0000b273df82bf71a2406f123a417221,7nSBHckG4tTFkp0xqNZDs5,Jamie xx,0.506,0.714,10,-7.802,0,0.291,0.513,0.871,0.053,0.719,160.065,audio_features,spotify:track:7nSBHckG4tTFkp0xqNZDs5,https://api.spotify.com/v1/tracks/7nSBHckG4tTFkp0xqNZDs5,https://api.spotify.com/v1/audio-analysis/7nSBHckG4tTFkp0xqNZDs5,321503,4
I've Been In Love,https://i.scdn.co/image/ab67616d0000b27377619f14cb03e11baf5761d1,7j3zZ2jAjzFD60UjhldhHo,Jungle,0.679,0.506,9,-9.497,0,0.0671,0.421,0.00216,0.434,0.588,114.967,audio_features,spotify:track:7j3zZ2jAjzFD60UjhldhHo,https://api.spotify.com/v1/tracks/7j3zZ2jAjzFD60UjhldhHo,https://api.spotify.com/v1/audio-analysis/7j3zZ2jAjzFD60UjhldhHo,169472,4
OUT WEST (feat. Young Thug),https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,6gi6y1xwmVszDWkUqab1qw,JACKBOYS,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,audio_features,spotify:track:6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/tracks/6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/audio-analysis/6gi6y1xwmVszDWkUqab1qw,157712,4
Posthumous Forgiveness,https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49,1KcOU0q9AMXV9xi4tSzzCc,Tame Impala,0.367,0.613,7,-5.646,1,0.0297,0.0508,0.00171,0.282,0.0966,153.978,audio_features,spotify:track:1KcOU0q9AMXV9xi4tSzzCc,https://api.spotify.com/v1/tracks/1KcOU0q9AMXV9xi4tSzzCc,https://api.spotify.com/v1/audio-analysis/1KcOU0q9AMXV9xi4tSzzCc,366067,4
Chorus (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,3DRcwunruhHB26AHT2jekM,Justice,0.438,0.772,4,-7.665,1,0.045,0.000503,0.855,0.0847,0.154,152.0,audio_features,spotify:track:3DRcwunruhHB26AHT2jekM,https://api.spotify.com/v1/tracks/3DRcwunruhHB26AHT2jekM,https://api.spotify.com/v1/audio-analysis/3DRcwunruhHB26AHT2jekM,364964,4
Playground Love,https://i.scdn.co/image/ab67616d0000b2735e3c18f342d16b0b4df04df2,052z2UsE2wPrHsBJ9tly0g,Air,0.33,0.423,7,-10.504,0,0.0279,0.265,0.731,0.347,0.117,143.086,audio_features,spotify:track:052z2UsE2wPrHsBJ9tly0g,https://api.spotify.com/v1/tracks/052z2UsE2wPrHsBJ9tly0g,https://api.spotify.com/v1/audio-analysis/052z2UsE2wPrHsBJ9tly0g,211500,4
Randy (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,4hYuIP1OPSnraNSWUlgKaT,Justice,0.329,0.683,9,-7.01,0,0.0502,0.0122,0.0597,0.645,0.399,113.83,audio_features,spotify:track:4hYuIP1OPSnraNSWUlgKaT,https://api.spotify.com/v1/tracks/4hYuIP1OPSnraNSWUlgKaT,https://api.spotify.com/v1/audio-analysis/4hYuIP1OPSnraNSWUlgKaT,453706,4
D.A.N.C.E. x Fire x Safe and Sound (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,2BbUJuG2a06CQntBvL1B2T,Justice,0.412,0.903,4,-5.955,1,0.0749,0.00547,8.61e-05,0.384,0.106,121.08,audio_features,spotify:track:2BbUJuG2a06CQntBvL1B2T,https://api.spotify.com/v1/tracks/2BbUJuG2a06CQntBvL1B2T,https://api.spotify.com/v1/audio-analysis/2BbUJuG2a06CQntBvL1B2T,382765,4
The Shoe Fits,https://i.scdn.co/image/ab67616d0000b273d329886e89e51420478f4751,3z91ibrazNnusM2nSVY2NR,Drake,0.454,0.767,4,-6.834,0,0.317,0.286,0.0,0.315,0.682,76.01,audio_features,spotify:track:3z91ibrazNnusM2nSVY2NR,https://api.spotify.com/v1/tracks/3z91ibrazNnusM2nSVY2NR,https://api.spotify.com/v1/audio-analysis/3z91ibrazNnusM2nSVY2NR,374026,4
High Together,https://i.scdn.co/image/ab67616d0000b273cd76e8361e4bd8ab264f106d,3wCO2c5IS6yqbBJzmCuimC,Siriusmo,0.652,0.879,7,-6.664,0,0.112,0.066,0.5,0.399,0.379,116.001,audio_features,spotify:track:3wCO2c5IS6yqbBJzmCuimC,https://api.spotify.com/v1/tracks/3wCO2c5IS6yqbBJzmCuimC,https://api.spotify.com/v1/audio-analysis/3wCO2c5IS6yqbBJzmCuimC,250360,4
Concrete Over Water,https://i.scdn.co/image/ab67616d0000b27342d0304232c61d1530b40ca1,4yBkKSNDihdHWcFQuSRkKV,Jockstrap,0.318,0.375,1,-7.357,0,0.036,0.748,0.00132,0.42,0.0455,140.211,audio_features,spotify:track:4yBkKSNDihdHWcFQuSRkKV,https://api.spotify.com/v1/tracks/4yBkKSNDihdHWcFQuSRkKV,https://api.spotify.com/v1/audio-analysis/4yBkKSNDihdHWcFQuSRkKV,369880,4
Safe and Sound (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,2OPmeyf31LlcIpYcJ4aegt,Justice,0.512,0.835,11,-6.493,1,0.0701,0.025,0.00243,0.669,0.242,116.993,audio_features,spotify:track:2OPmeyf31LlcIpYcJ4aegt,https://api.spotify.com/v1/tracks/2OPmeyf31LlcIpYcJ4aegt,https://api.spotify.com/v1/audio-analysis/2OPmeyf31LlcIpYcJ4aegt,452105,4
Arrival,https://i.scdn.co/image/ab67616d0000b273166adc280da684b1d54f4126,2w2kbuV4jYHtT922M0q2Pj,Hans Zimmer,0.384,0.218,3,-18.356,1,0.0361,0.00848,0.759,0.113,0.338,107.502,audio_features,spotify:track:2w2kbuV4jYHtT922M0q2Pj,https://api.spotify.com/v1/tracks/2w2kbuV4jYHtT922M0q2Pj,https://api.spotify.com/v1/audio-analysis/2w2kbuV4jYHtT922M0q2Pj,100915,4
Paul's Dream,https://i.scdn.co/image/ab67616d0000b2734a9cb923dba2bba347ddb365,1Qr17u2S9kNDzTeWAJCY5N,Hans Zimmer,0.184,0.222,7,-12.428,1,0.0391,0.00494,0.776,0.093,0.0356,114.592,audio_features,spotify:track:1Qr17u2S9kNDzTeWAJCY5N,https://api.spotify.com/v1/tracks/1Qr17u2S9kNDzTeWAJCY5N,https://api.spotify.com/v1/audio-analysis/1Qr17u2S9kNDzTeWAJCY5N,423310,3
WHAT TO DO? (feat. Don Toliver),https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,4AO1XhrgJczQ9bNVxdfKQe,JACKBOYS,0.643,0.594,9,-5.191,0,0.0312,0.0695,1.46e-05,0.115,0.195,118.037,audio_features,spotify:track:4AO1XhrgJczQ9bNVxdfKQe,https://api.spotify.com/v1/tracks/4AO1XhrgJczQ9bNVxdfKQe,https://api.spotify.com/v1/audio-analysis/4AO1XhrgJczQ9bNVxdfKQe,250142,4
leavemealone,https://i.scdn.co/image/ab67616d0000b273c9049966d5a1c1954ae98480,1MVqeIAwhD4T44AKVkIfic,Fred again..,0.682,0.882,0,-4.5,1,0.0543,0.00521,0.0194,0.571,0.103,174.052,audio_features,spotify:track:1MVqeIAwhD4T44AKVkIfic,https://api.spotify.com/v1/tracks/1MVqeIAwhD4T44AKVkIfic,https://api.spotify.com/v1/audio-analysis/1MVqeIAwhD4T44AKVkIfic,222784,4
Generator,https://i.scdn.co/image/ab67616d0000b2734e18be1213cef256db8766da,4ZVTe0Pn5sjcFu71Oel0i0,Justice,0.515,0.62,1,-9.749,1,0.122,0.000298,0.835,0.279,0.417,112.022,audio_features,spotify:track:4ZVTe0Pn5sjcFu71Oel0i0,https://api.spotify.com/v1/tracks/4ZVTe0Pn5sjcFu71Oel0i0,https://api.spotify.com/v1/audio-analysis/4ZVTe0Pn5sjcFu71Oel0i0,282747,4
Apocalypse Dreams,https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193,7qU7vhCPKhkDiJYGoboISc,Tame Impala,0.496,0.929,8,-2.279,1,0.0503,0.249,0.131,0.0677,0.267,127.998,audio_features,spotify:track:7qU7vhCPKhkDiJYGoboISc,https://api.spotify.com/v1/tracks/7qU7vhCPKhkDiJYGoboISc,https://api.spotify.com/v1/audio-analysis/7qU7vhCPKhkDiJYGoboISc,356947,4
Poem Of Dead Song,https://i.scdn.co/image/ab67616d0000b273b50c687dcb08a9d854880eb8,0iydK1X00Knz6XRd3jDSFl,Broadcast,0.428,0.536,5,-10.012,0,0.0296,0.226,0.85,0.365,0.464,110.089,audio_features,spotify:track:0iydK1X00Knz6XRd3jDSFl,https://api.spotify.com/v1/tracks/0iydK1X00Knz6XRd3jDSFl,https://api.spotify.com/v1/audio-analysis/0iydK1X00Knz6XRd3jDSFl,151800,3
Cheerleader,https://i.scdn.co/image/ab67616d0000b273aaa83532a319c37f1fb4180c,131vswZNMvVQEvNJdLCQfD,Grizzly Bear,0.669,0.393,6,-11.19,1,0.0311,0.4,0.845,0.613,0.572,96.417,audio_features,spotify:track:131vswZNMvVQEvNJdLCQfD,https://api.spotify.com/v1/tracks/131vswZNMvVQEvNJdLCQfD,https://api.spotify.com/v1/audio-analysis/131vswZNMvVQEvNJdLCQfD,294467,4
D.A.N.C.E. (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,0LpnNgvF6z5HJYAgLClfMB,Justice,0.58,0.782,6,-5.951,0,0.0323,0.0613,3.37e-06,0.672,0.274,115.002,audio_features,spotify:track:0LpnNgvF6z5HJYAgLClfMB,https://api.spotify.com/v1/tracks/0LpnNgvF6z5HJYAgLClfMB,https://api.spotify.com/v1/audio-analysis/0LpnNgvF6z5HJYAgLClfMB,196198,4
Let's Make Love and Listen to Death From Above,https://i.scdn.co/image/ab67616d0000b273cc173d5f27bfd015bcc98d01,1Jd9W7k8DTnBSovDSxK77n,CSS,0.699,0.784,10,-5.205,0,0.0329,0.0726,0.00735,0.192,0.702,119.987,audio_features,spotify:track:1Jd9W7k8DTnBSovDSxK77n,https://api.spotify.com/v1/tracks/1Jd9W7k8DTnBSovDSxK77n,https://api.spotify.com/v1/audio-analysis/1Jd9W7k8DTnBSovDSxK77n,211183,4
n.h.i.e.,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347,6x9pCndnXEoea0CMcfjs9W,21 Savage,0.818,0.512,5,-9.056,0,0.0926,0.093,0.0441,0.11,0.155,131.967,audio_features,spotify:track:6x9pCndnXEoea0CMcfjs9W,https://api.spotify.com/v1/tracks/6x9pCndnXEoea0CMcfjs9W,https://api.spotify.com/v1/audio-analysis/6x9pCndnXEoea0CMcfjs9W,143719,4
Harvester Attack,https://i.scdn.co/image/ab67616d0000b273166adc280da684b1d54f4126,11B6dTrdv0oHCJNkvNLYRp,Hans Zimmer,0.529,0.476,1,-14.919,1,0.05,0.000395,0.624,0.118,0.0969,119.964,audio_features,spotify:track:11B6dTrdv0oHCJNkvNLYRp,https://api.spotify.com/v1/tracks/11B6dTrdv0oHCJNkvNLYRp,https://api.spotify.com/v1/audio-analysis/11B6dTrdv0oHCJNkvNLYRp,220302,4
Myth,https://i.scdn.co/image/ab67616d0000b273bb9f22f4b196fa10308d77a7,2NfxtzCIrpCmJX5Z2KMdD5,Beach House,0.445,0.708,3,-6.268,1,0.0293,0.032,0.0908,0.171,0.414,141.965,audio_features,spotify:track:2NfxtzCIrpCmJX5Z2KMdD5,https://api.spotify.com/v1/tracks/2NfxtzCIrpCmJX5Z2KMdD5,https://api.spotify.com/v1/audio-analysis/2NfxtzCIrpCmJX5Z2KMdD5,258653,4
Let It Happen,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,2X485T9Z5Ly0xyaghN73ed,Tame Impala,0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,audio_features,spotify:track:2X485T9Z5Ly0xyaghN73ed,https://api.spotify.com/v1/tracks/2X485T9Z5Ly0xyaghN73ed,https://api.spotify.com/v1/audio-analysis/2X485T9Z5Ly0xyaghN73ed,467587,4
"New Person, Same Old Mistakes",https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,52ojopYMUzeNcudsoz7O9D,Tame Impala,0.47,0.809,8,-6.74,1,0.0495,0.272,0.00671,0.0491,0.49,151.836,audio_features,spotify:track:52ojopYMUzeNcudsoz7O9D,https://api.spotify.com/v1/tracks/52ojopYMUzeNcudsoz7O9D,https://api.spotify.com/v1/audio-analysis/52ojopYMUzeNcudsoz7O9D,363240,4
Foreground,https://i.scdn.co/image/ab67616d0000b273aaa83532a319c37f1fb4180c,4dBfL69e2UtXAJrdAywyOs,Grizzly Bear,0.468,0.225,11,-13.727,0,0.033,0.938,0.138,0.137,0.0912,78.414,audio_features,spotify:track:4dBfL69e2UtXAJrdAywyOs,https://api.spotify.com/v1/tracks/4dBfL69e2UtXAJrdAywyOs,https://api.spotify.com/v1/audio-analysis/4dBfL69e2UtXAJrdAywyOs,215373,4
Guys Eyes,https://i.scdn.co/image/ab67616d0000b273a7f85f2df08fbeb6dac5677c,2XWwjHYGwjo5eXtIwfj2vU,Animal Collective,0.286,0.818,0,-6.245,1,0.157,0.0047,0.000142,0.254,0.667,174.597,audio_features,spotify:track:2XWwjHYGwjo5eXtIwfj2vU,https://api.spotify.com/v1/tracks/2XWwjHYGwjo5eXtIwfj2vU,https://api.spotify.com/v1/audio-analysis/2XWwjHYGwjo5eXtIwfj2vU,270653,3
Mind Mischief,https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193,6ewQE1dNPv9qqlnB1CxrvM,Tame Impala,0.25,0.942,6,-3.235,1,0.0545,0.0815,0.00097,0.367,0.822,161.333,audio_features,spotify:track:6ewQE1dNPv9qqlnB1CxrvM,https://api.spotify.com/v1/tracks/6ewQE1dNPv9qqlnB1CxrvM,https://api.spotify.com/v1/audio-analysis/6ewQE1dNPv9qqlnB1CxrvM,271880,4
Hannah Hunt,https://i.scdn.co/image/ab67616d0000b273654afcab578b93f29ca55a29,6AY1M1akbsVaQN3ATVyzH7,Vampire Weekend,0.647,0.31,4,-10.237,1,0.0372,0.705,0.000723,0.1,0.189,103.974,audio_features,spotify:track:6AY1M1akbsVaQN3ATVyzH7,https://api.spotify.com/v1/tracks/6AY1M1akbsVaQN3ATVyzH7,https://api.spotify.com/v1/audio-analysis/6AY1M1akbsVaQN3ATVyzH7,237973,4
Service Bell,https://i.scdn.co/image/ab67616d0000b27331a24d4551dc8bb8af12b2b6,7GRPtCT73RBAAf8hSuJZr0,Grizzly Bear,0.596,0.276,9,-11.732,0,0.0343,0.852,0.254,0.107,0.258,112.952,audio_features,spotify:track:7GRPtCT73RBAAf8hSuJZr0,https://api.spotify.com/v1/tracks/7GRPtCT73RBAAf8hSuJZr0,https://api.spotify.com/v1/audio-analysis/7GRPtCT73RBAAf8hSuJZr0,143440,3
One Night/All Night,https://i.scdn.co/image/ab67616d0000b2734e18be1213cef256db8766da,6tAXrxWNaWpqcu5cCOP7dI,Justice,0.686,0.506,0,-9.352,0,0.179,0.03,0.0414,0.641,0.638,116.139,audio_features,spotify:track:6tAXrxWNaWpqcu5cCOP7dI,https://api.spotify.com/v1/tracks/6tAXrxWNaWpqcu5cCOP7dI,https://api.spotify.com/v1/audio-analysis/6tAXrxWNaWpqcu5cCOP7dI,276067,4
Love S.O.S. (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,0oBwbnefM7yniHJPjNrIVK,Justice,0.391,0.753,10,-6.465,1,0.0533,0.0612,0.0,0.663,0.083,121.042,audio_features,spotify:track:0oBwbnefM7yniHJPjNrIVK,https://api.spotify.com/v1/tracks/0oBwbnefM7yniHJPjNrIVK,https://api.spotify.com/v1/audio-analysis/0oBwbnefM7yniHJPjNrIVK,285073,4
